2026-03-05T19:23:34.844Z - Temp: 24.4°C, Humidity: 84.7%
2026-03-05T19:23:49.280Z - Temp: 24.3°C, Humidity: 83.8%
2026-03-05T19:24:39.055Z - Temp: 24.2°C, Humidity: 83.4%
2026-03-05T19:24:49.586Z - Temp: 24.2°C, Humidity: 83.5%
2026-03-05T19:24:59.584Z - Temp: 24.2°C, Humidity: 84.2%
2026-03-05T19:25:23.500Z - Temp: 25.2°C, Humidity: 89.2%
2026-03-05T19:25:33.878Z - Temp: 25.4°C, Humidity: 85.2%
2026-03-05T19:25:58.654Z - Temp: 25.4°C, Humidity: 81%
2026-03-05T19:26:22.542Z - Temp: 25.2°C, Humidity: 80.3%
2026-03-05T19:26:33.181Z - Temp: 25.1°C, Humidity: 80.4%
2026-03-05T19:27:09.760Z - Temp: 24.7°C, Humidity: 81.4%
2026-03-05T19:27:20.641Z - Temp: 24.6°C, Humidity: 81.6%
2026-03-05T19:27:30.623Z - Temp: 24.5°C, Humidity: 81.9%
2026-03-05T19:27:40.620Z - Temp: 24.5°C, Humidity: 82.1%
2026-03-05T19:27:54.525Z - Temp: 24.4°C, Humidity: 82.3%
2026-03-05T19:28:17.023Z - Temp: 24.3°C, Humidity: 82.7%
2026-03-05T19:28:27.205Z - Temp: 24.3°C, Humidity: 82.9%
2026-03-11T20:53:58.045Z - Temp: 28.9°C, Humidity: 57.7%, Gas: 0 (raw)
2026-03-11T20:56:01.179Z - Temp: 28.8°C, Humidity: 57.6%, Gas: 0 (raw)
2026-03-11T20:56:41.242Z - Temp: 28.8°C, Humidity: 57.8%, Gas: 0 (raw)
2026-03-11T21:36:55.955Z - Temp: 28.5°C, Humidity: 56.9%, Gas: 64 (raw)
2026-03-11T21:37:01.029Z - Temp: 28.6°C, Humidity: 57%, Gas: 149 (raw)
2026-03-11T21:37:20.945Z - Temp: 28.6°C, Humidity: 56.8%, Gas: 97 (raw)
2026-03-11T21:37:40.901Z - Temp: 28.6°C, Humidity: 56.8%, Gas: 163 (raw)
2026-03-11T21:38:00.918Z - Temp: 28.6°C, Humidity: 56.7%, Gas: 121 (raw)
2026-03-11T21:38:21.010Z - Temp: 28.6°C, Humidity: 56.7%, Gas: 157 (raw)
2026-03-11T21:38:41.062Z - Temp: 28.6°C, Humidity: 56.6%, Gas: 126 (raw)
2026-03-11T21:39:00.929Z - Temp: 28.6°C, Humidity: 56.5%, Gas: 151 (raw)
2026-03-11T21:39:20.986Z - Temp: 28.6°C, Humidity: 56.6%, Gas: 102 (raw)
2026-03-11T21:39:41.076Z - Temp: 28.6°C, Humidity: 56.4%, Gas: 153 (raw)
2026-03-11T21:40:00.888Z - Temp: 28.6°C, Humidity: 56.6%, Gas: 126 (raw)
2026-03-11T21:40:20.961Z - Temp: 28.6°C, Humidity: 56.6%, Gas: 153 (raw)
2026-03-11T21:40:40.912Z - Temp: 28.6°C, Humidity: 56.6%, Gas: 174 (raw)
2026-03-11T21:41:00.989Z - Temp: 28.6°C, Humidity: 56.5%, Gas: 146 (raw)
2026-03-11T21:41:20.962Z - Temp: 28.7°C, Humidity: 56.4%, Gas: 152 (raw)
2026-03-11T21:41:40.959Z - Temp: 28.7°C, Humidity: 56.4%, Gas: 128 (raw)
2026-03-11T21:42:01.097Z - Temp: 28.7°C, Humidity: 56.2%, Gas: 138 (raw)
2026-03-11T21:42:20.982Z - Temp: 28.7°C, Humidity: 56.1%, Gas: 113 (raw)
2026-03-11T21:42:40.979Z - Temp: 28.7°C, Humidity: 56.1%, Gas: 144 (raw)
2026-03-11T21:43:01.057Z - Temp: 28.7°C, Humidity: 56.1%, Gas: 121 (raw)
2026-03-11T21:43:20.956Z - Temp: 28.7°C, Humidity: 56.3%, Gas: 169 (raw)
2026-03-11T21:43:40.990Z - Temp: 28.7°C, Humidity: 56.3%, Gas: 101 (raw)
2026-03-11T21:44:00.945Z - Temp: 28.7°C, Humidity: 56.5%, Gas: 144 (raw)
2026-03-11T21:44:20.938Z - Temp: 28.7°C, Humidity: 56.6%, Gas: 80 (raw)
2026-03-11T21:44:40.966Z - Temp: 28.6°C, Humidity: 56.4%, Gas: 125 (raw)
2026-03-11T21:45:00.983Z - Temp: 28.6°C, Humidity: 56.3%, Gas: 174 (raw)
2026-03-11T21:45:21.076Z - Temp: 28.6°C, Humidity: 56.4%, Gas: 146 (raw)
2026-03-11T21:45:40.923Z - Temp: 28.6°C, Humidity: 56.3%, Gas: 151 (raw)
2026-03-11T21:46:01.015Z - Temp: 28.6°C, Humidity: 56.5%, Gas: 129 (raw)
2026-03-12T18:25:08.185Z - Temp: 28.6°C, Humidity: 56.4%, Gas: 86 (raw)
2026-03-12T18:25:34.291Z - Temp: 27.8°C, Humidity: 66.1%, Gas: 767 (raw)
2026-03-12T18:25:54.293Z - Temp: 27.9°C, Humidity: 65.4%, Gas: 237 (raw)
2026-03-12T18:26:14.262Z - Temp: 28°C, Humidity: 65%, Gas: 186 (raw)
2026-03-12T18:26:34.290Z - Temp: 28°C, Humidity: 64.6%, Gas: 157 (raw)
2026-03-12T18:27:11.077Z - Temp: 28°C, Humidity: 64.5%, Gas: 113 (raw)
2026-03-12T18:27:31.110Z - Temp: 28.1°C, Humidity: 64.4%, Gas: 182 (raw)
2026-03-12T18:27:51.111Z - Temp: 28.1°C, Humidity: 64.4%, Gas: 174 (raw)
2026-03-12T18:28:11.257Z - Temp: 28.1°C, Humidity: 64.3%, Gas: 122 (raw)
2026-03-12T18:28:31.145Z - Temp: 28.1°C, Humidity: 64.2%, Gas: 179 (raw)
2026-03-12T18:28:51.134Z - Temp: 28.2°C, Humidity: 64.4%, Gas: 156 (raw)
2026-03-12T18:29:11.277Z - Temp: 28.2°C, Humidity: 64.3%, Gas: 130 (raw)
2026-03-12T18:29:31.107Z - Temp: 28.3°C, Humidity: 64.1%, Gas: 132 (raw)
2026-03-12T18:29:51.133Z - Temp: 28.3°C, Humidity: 64.1%, Gas: 128 (raw)
2026-03-12T18:30:11.483Z - Temp: 28.3°C, Humidity: 64.1%, Gas: 174 (raw)
2026-03-12T18:30:31.102Z - Temp: 28.3°C, Humidity: 64.6%, Gas: 155 (raw)
2026-03-12T18:30:51.111Z - Temp: 28.3°C, Humidity: 64.3%, Gas: 161 (raw)
2026-03-12T18:31:11.099Z - Temp: 28.4°C, Humidity: 64.7%, Gas: 116 (raw)
2026-03-12T18:31:31.103Z - Temp: 28.3°C, Humidity: 64.6%, Gas: 148 (raw)
2026-03-12T18:31:51.092Z - Temp: 28.3°C, Humidity: 64.2%, Gas: 258 (raw)
2026-03-12T18:32:11.135Z - Temp: 28.3°C, Humidity: 63.9%, Gas: 98 (raw)
2026-03-12T18:32:31.154Z - Temp: 28.2°C, Humidity: 64%, Gas: 135 (raw)
2026-03-12T18:32:51.168Z - Temp: 28.2°C, Humidity: 64.2%, Gas: 132 (raw)
2026-03-12T18:33:11.123Z - Temp: 28.2°C, Humidity: 64.3%, Gas: 109 (raw)
2026-03-12T18:33:31.126Z - Temp: 28.2°C, Humidity: 64.2%, Gas: 103 (raw)
2026-03-12T18:33:51.141Z - Temp: 28.2°C, Humidity: 64.2%, Gas: 130 (raw)
2026-03-12T18:34:11.095Z - Temp: 28.2°C, Humidity: 64.2%, Gas: 125 (raw)
2026-03-12T18:34:31.147Z - Temp: 28.2°C, Humidity: 64.8%, Gas: 128 (raw)
2026-03-12T18:34:51.272Z - Temp: 28.2°C, Humidity: 64.2%, Gas: 149 (raw)
2026-03-12T18:35:11.109Z - Temp: 28.1°C, Humidity: 64.1%, Gas: 109 (raw)
2026-03-12T18:35:31.131Z - Temp: 28.1°C, Humidity: 64.6%, Gas: 121 (raw)
2026-03-12T18:35:51.122Z - Temp: 28.1°C, Humidity: 64.5%, Gas: 114 (raw)
2026-03-12T18:36:11.163Z - Temp: 28.2°C, Humidity: 64.3%, Gas: 124 (raw)
2026-03-12T18:36:31.116Z - Temp: 28.2°C, Humidity: 64.3%, Gas: 98 (raw)
2026-03-12T18:36:51.229Z - Temp: 28.1°C, Humidity: 64.4%, Gas: 144 (raw)
2026-03-12T18:37:11.113Z - Temp: 28.2°C, Humidity: 64.4%, Gas: 115 (raw)
2026-03-12T18:37:31.129Z - Temp: 28.2°C, Humidity: 64.7%, Gas: 106 (raw)
2026-03-12T18:37:51.150Z - Temp: 28.2°C, Humidity: 64.7%, Gas: 121 (raw)
2026-03-12T18:38:11.329Z - Temp: 28.2°C, Humidity: 64.6%, Gas: 123 (raw)
2026-03-12T18:38:31.111Z - Temp: 28.2°C, Humidity: 64.7%, Gas: 123 (raw)
2026-03-12T18:38:51.157Z - Temp: 28.3°C, Humidity: 64.9%, Gas: 141 (raw)
2026-03-12T18:39:11.144Z - Temp: 28.3°C, Humidity: 64.9%, Gas: 105 (raw)
2026-03-12T18:39:31.249Z - Temp: 28.3°C, Humidity: 64.3%, Gas: 99 (raw)
2026-03-12T18:39:51.119Z - Temp: 28.3°C, Humidity: 64.1%, Gas: 127 (raw)
2026-03-12T18:40:11.138Z - Temp: 28.3°C, Humidity: 64%, Gas: 128 (raw)
2026-03-12T18:40:31.142Z - Temp: 28.3°C, Humidity: 63.9%, Gas: 96 (raw)
2026-03-12T18:40:51.219Z - Temp: 28.3°C, Humidity: 64%, Gas: 100 (raw)
2026-03-12T18:41:00.864Z - Temp: 28.3°C, Humidity: 64%, CO2: undefined ppm
2026-03-12T18:41:11.157Z - Temp: 28.4°C, Humidity: 64.8%, CO2: undefined ppm
2026-03-12T18:41:31.171Z - Temp: 28.3°C, Humidity: 64.6%, CO2: undefined ppm
2026-03-12T18:41:51.171Z - Temp: 28.3°C, Humidity: 64.2%, CO2: undefined ppm
2026-03-12T18:42:11.248Z - Temp: 28.3°C, Humidity: 63.9%, CO2: undefined ppm
2026-03-12T18:42:31.170Z - Temp: 28.3°C, Humidity: 63.8%, CO2: undefined ppm
2026-03-12T18:42:51.245Z - Temp: 28.2°C, Humidity: 63.7%, CO2: undefined ppm
2026-03-12T18:43:41.924Z - Temp: 28.2°C, Humidity: 63.8%, CO2: 0.4 ppm
2026-03-12T18:44:02.104Z - Temp: 28.2°C, Humidity: 64%, CO2: 3 ppm
2026-03-12T18:44:21.936Z - Temp: 28.2°C, Humidity: 64.1%, CO2: 2.8 ppm
2026-03-12T18:44:42.014Z - Temp: 28.2°C, Humidity: 64.1%, CO2: 2.6 ppm
2026-03-12T18:45:58.361Z - Temp: 28.1°C, Humidity: 64%, CO2: 3.4 ppm
2026-03-12T18:46:18.228Z - Temp: 28.1°C, Humidity: 64.5%, CO2: 3.6 ppm
2026-03-12T18:46:38.170Z - Temp: 28.1°C, Humidity: 64.6%, CO2: 3.5 ppm
2026-03-12T18:46:58.137Z - Temp: 28.2°C, Humidity: 64.4%, CO2: 3.7 ppm
2026-03-12T18:47:18.124Z - Temp: 28°C, Humidity: 64.1%, CO2: 3.6 ppm
2026-03-12T18:47:38.191Z - Temp: 28°C, Humidity: 64.3%, CO2: 3.5 ppm
2026-03-12T18:47:58.157Z - Temp: 28°C, Humidity: 64.5%, CO2: 3.5 ppm
2026-03-12T18:48:18.331Z - Temp: 28°C, Humidity: 64.6%, CO2: 3.1 ppm
2026-03-12T18:48:38.141Z - Temp: 28°C, Humidity: 64.6%, CO2: 3.3 ppm
2026-03-12T18:48:58.259Z - Temp: 28°C, Humidity: 64.6%, CO2: 3.7 ppm
2026-03-12T18:49:14.217Z - Temp: 28°C, Humidity: 64.6%, CO2: 3.7 ppm
2026-03-12T18:49:18.263Z - Temp: 28°C, Humidity: 64.3%, CO2: 3.7 ppm
2026-03-12T18:49:38.147Z - Temp: 28°C, Humidity: 64.5%, CO2: 2.3 ppm
2026-03-12T18:49:58.127Z - Temp: 28.1°C, Humidity: 64.4%, CO2: 3.3 ppm
2026-03-12T18:50:18.305Z - Temp: 28.1°C, Humidity: 64.4%, CO2: 3.6 ppm
2026-03-12T18:50:38.213Z - Temp: 28.1°C, Humidity: 64.4%, CO2: 3.3 ppm
2026-03-12T18:50:58.179Z - Temp: 28.1°C, Humidity: 64.6%, CO2: 4.3 ppm
2026-03-12T18:51:18.223Z - Temp: 28.1°C, Humidity: 64.5%, CO2: 3 ppm
2026-03-12T18:51:38.214Z - Temp: 28.1°C, Humidity: 64.6%, CO2: 3.2 ppm
2026-03-12T18:51:58.208Z - Temp: 28.1°C, Humidity: 65%, CO2: 3.5 ppm
2026-03-12T18:52:18.157Z - Temp: 28.2°C, Humidity: 64.6%, CO2: 3.8 ppm
2026-03-12T18:52:38.426Z - Temp: 28.1°C, Humidity: 64.2%, CO2: 3.3 ppm
2026-03-12T18:52:58.275Z - Temp: 28.1°C, Humidity: 64.2%, CO2: 3.3 ppm
2026-03-12T18:53:18.142Z - Temp: 28.1°C, Humidity: 64.1%, CO2: 3.9 ppm
2026-03-12T18:53:38.336Z - Temp: 28.1°C, Humidity: 64.2%, CO2: 3.1 ppm
2026-03-12T18:53:58.195Z - Temp: 28.1°C, Humidity: 64.3%, CO2: 4.4 ppm
2026-03-12T18:54:18.346Z - Temp: 28.1°C, Humidity: 64.3%, CO2: 3.2 ppm
2026-03-12T18:54:38.337Z - Temp: 28.2°C, Humidity: 64.6%, CO2: 4.4 ppm
2026-03-12T18:54:58.183Z - Temp: 28.2°C, Humidity: 64.6%, CO2: 3.3 ppm
2026-03-12T18:55:18.246Z - Temp: 28.2°C, Humidity: 64.2%, CO2: 2.1 ppm
2026-03-12T18:55:38.326Z - Temp: 28.2°C, Humidity: 64.1%, CO2: 2.8 ppm
2026-03-12T18:55:58.312Z - Temp: 28.2°C, Humidity: 64.2%, CO2: 2.6 ppm
2026-03-12T19:05:21.366Z - Temp: 28.2°C, Humidity: 64.2%, CO2: 2.6 ppm, HR: undefined BPM, SpO2: undefined%
2026-03-12T19:22:26.762Z - Temp: 28.2°C, Humidity: 64.1%, CO2: 4.6 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:22:46.976Z - Temp: 28.2°C, Humidity: 64.1%, CO2: 2.6 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:23:07.147Z - Temp: 28.2°C, Humidity: 63.9%, CO2: 3.8 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:23:27.424Z - Temp: 28.3°C, Humidity: 63.9%, CO2: 2 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:25:47.705Z - Temp: 28.3°C, Humidity: 63.9%, CO2: 2 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:34:41.059Z - Temp: 27.9°C, Humidity: 65.3%, CO2: 2.3 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:39:23.794Z - Temp: 27.9°C, Humidity: 65.1%, CO2: 2 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:39:42.646Z - Temp: 28°C, Humidity: 65.6%, CO2: 2.4 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:44:10.673Z - Temp: 28°C, Humidity: 64.6%, CO2: 0.7 ppm, HR: 0 BPM, SpO2: 0%
2026-03-12T19:44:26.506Z - Temp: 28°C, Humidity: 64.8%, CO2: 2.8 ppm, HR: 0 BPM, SpO2: 0%
2026-03-14T18:35:52.209Z - Temp: 28.1°C, Humidity: 57.7%, CO2: 0.1 ppm, HR: 0 BPM, SpO2: 0%
2026-03-14T18:36:04.687Z - Temp: 28.2°C, Humidity: 57.1%, CO2: 3.2 ppm, HR: 0 BPM, SpO2: 0%
2026-03-25T12:49:38.084Z - Temp: 25.8°C, Humidity: 67.7%, CO2: 3 ppm, HR: 0 BPM, SpO2: 0%
2026-03-25T12:49:59.976Z - Temp: 26.2°C, Humidity: 61.3%, CO2: 99.5 ppm, HR: 0 BPM, SpO2: 0%
2026-03-25T12:50:20.282Z - Temp: 26.3°C, Humidity: 60.4%, CO2: 39.7 ppm, HR: 0 BPM, SpO2: 0%
2026-03-25T12:51:05.838Z - Temp: 26.4°C, Humidity: 60.2%, CO2: 2.4 ppm, HR: 0 BPM, SpO2: 0%
2026-03-25T12:51:25.789Z - Temp: 26.4°C, Humidity: 59.9%, CO2: 2.3 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:28:41.189Z - Temp: 23.9°C, Humidity: 64.1%, CO2: 0 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:28:58.766Z - Temp: 24.2°C, Humidity: 63.3%, CO2: 1.7 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:29:19.071Z - Temp: 24.2°C, Humidity: 62.9%, CO2: 1.3 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:29:58.717Z - Temp: 24.2°C, Humidity: 62.7%, CO2: 2.7 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:32:12.528Z - Temp: 24.2°C, Humidity: 63.1%, CO2: 10.4 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:32:32.817Z - Temp: 24.3°C, Humidity: 62.9%, CO2: 7.1 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:32:53.029Z - Temp: 24.4°C, Humidity: 63.1%, CO2: 7.9 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:33:13.293Z - Temp: 24.5°C, Humidity: 64.6%, CO2: 7.5 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:33:32.967Z - Temp: 24.6°C, Humidity: 63.1%, CO2: 5.6 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:34:09.866Z - Temp: 24.6°C, Humidity: 62.1%, CO2: 3.2 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:34:33.502Z - Temp: 24.6°C, Humidity: 61.9%, CO2: 2.9 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:34:53.877Z - Temp: 24.6°C, Humidity: 61.9%, CO2: 2.6 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:35:13.866Z - Temp: 24.6°C, Humidity: 62.4%, CO2: 2.6 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:35:34.328Z - Temp: 24.6°C, Humidity: 62%, CO2: 2.5 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:35:54.445Z - Temp: 24.6°C, Humidity: 61.9%, CO2: 2.4 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:36:44.494Z - Temp: 24.5°C, Humidity: 62.2%, CO2: 2.7 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T20:37:04.809Z - Temp: 24.6°C, Humidity: 63%, CO2: 2.8 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T21:01:44.553Z - Temp: 24.6°C, Humidity: 63%, CO2: 2.8 ppm, HR: 0 BPM, SpO2: 0%
2026-04-08T21:01:48.560Z - Temp: 24.6°C, Humidity: 63%, CO2: 2.8 ppm, HR: 0 BPM, SpO2: 0%
2026-04-19T16:29:38.645Z - Temp: 29.8°C, Humidity: 55.3%, CO2: 4.4 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:29:42.578Z - Temp: 29.9°C, Humidity: 55.3%, CO2: 3.7 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:29:59.182Z - Temp: 29.9°C, Humidity: 55.2%, CO2: 4.4 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:30:19.695Z - Temp: 29.9°C, Humidity: 55%, CO2: 4.2 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:30:39.832Z - Temp: 29.9°C, Humidity: 55%, CO2: 5 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:31:00.408Z - Temp: 29.9°C, Humidity: 54.9%, CO2: 4.7 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:31:20.859Z - Temp: 29.9°C, Humidity: 55%, CO2: 5.2 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:31:41.848Z - Temp: 30°C, Humidity: 54.9%, CO2: 5.3 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:32:01.819Z - Temp: 30°C, Humidity: 54.8%, CO2: 4.8 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:32:25.287Z - Temp: 30°C, Humidity: 54.8%, CO2: 4.4 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:32:42.781Z - Temp: 29.9°C, Humidity: 54.8%, CO2: 4.3 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:33:06.120Z - Temp: 29.9°C, Humidity: 54.9%, CO2: 5.5 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:34:18.935Z - Temp: 29.9°C, Humidity: 54.9%, CO2: 5.5 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:35:37.318Z - Temp: 30°C, Humidity: 54.9%, CO2: 2 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:35:57.969Z - Temp: 29.9°C, Humidity: 55%, CO2: 2.9 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:36:23.458Z - Temp: 29.9°C, Humidity: 55%, CO2: 2.7 ppm, HR: undefined BPM, SpO2: undefined%
2026-04-19T16:36:43.850Z - Temp: 29.9°C, Humidity: 55.1%, CO2: 3.5 ppm, HR: undefined BPM, SpO2: undefined%
